Date,Open,High,Low,Close,Adj Close,Volume
01/07/1988,10.754,10.754,10.754,10.754,0.732737,0
04/07/1988,10.714,10.714,10.714,10.714,0.730011,0
05/07/1988,10.635,10.635,10.635,10.635,0.724628,0
06/07/1988,10.714,10.714,10.714,10.714,0.730011,0
07/07/1988,10.635,10.635,10.635,10.635,0.724628,0
08/07/1988,10.635,10.635,10.635,10.635,0.724628,0
11/07/1988,10.754,10.754,10.754,10.754,0.732737,0
12/07/1988,10.754,10.754,10.754,10.754,0.732737,0
13/07/1988,10.794,10.794,10.794,10.794,0.735462,0
14/07/1988,10.834,10.834,10.834,10.834,0.738187,0
15/07/1988,10.754,10.754,10.754,10.754,0.732737,0
18/07/1988,10.754,10.754,10.754,10.754,0.732737,0
19/07/1988,10.754,10.754,10.754,10.754,0.732737,0
20/07/1988,10.834,10.834,10.834,10.834,0.738187,0
21/07/1988,10.754,10.754,10.754,10.754,0.732737,0
22/07/1988,10.754,10.754,10.754,10.754,0.732737,0
25/07/1988,10.754,10.754,10.754,10.754,0.732737,0
26/07/1988,10.913,10.913,10.913,10.913,0.74357,0
27/07/1988,10.953,10.953,10.953,10.953,0.746296,0
28/07/1988,10.953,10.953,10.953,10.953,0.746296,0
29/07/1988,10.953,10.953,10.953,10.953,0.746296,0
01/08/1988,10.953,10.953,10.953,10.953,0.746296,0
02/08/1988,10.953,10.953,10.953,10.953,0.746296,0
03/08/1988,11.032,11.032,11.032,11.032,0.751679,0
04/08/1988,11.349,11.349,11.349,11.349,0.773278,0
05/08/1988,11.786,11.786,11.786,11.786,0.803053,0
08/08/1988,12.024,12.024,12.024,12.024,0.81927,0
09/08/1988,12.024,12.024,12.024,12.024,0.81927,0
10/08/1988,11.905,11.905,11.905,11.905,0.811161,0
11/08/1988,11.945,11.945,11.945,11.945,0.813887,0
12/08/1988,12.461,12.461,12.461,12.461,0.849045,0
15/08/1988,12.421,12.421,12.421,12.421,0.84632,0
16/08/1988,12.381,12.381,12.381,12.381,0.843594,0
17/08/1988,12.421,12.421,12.421,12.421,0.84632,0
18/08/1988,12.342,12.342,12.342,12.342,0.840937,0
19/08/1988,12.5,12.5,12.5,12.5,0.851702,0
22/08/1988,12.54,12.54,12.54,12.54,0.854428,0
23/08/1988,12.421,12.421,12.421,12.421,0.84632,0
24/08/1988,12.421,12.421,12.421,12.421,0.84632,0
25/08/1988,12.421,12.421,12.421,12.421,0.84632,0
26/08/1988,12.302,12.302,12.302,12.302,0.838211,0
29/08/1988,12.302,12.302,12.302,12.302,0.838211,0
30/08/1988,12.222,12.222,12.222,12.222,0.83276,0
31/08/1988,12.222,12.222,12.222,12.222,0.83276,0
01/09/1988,12.222,12.222,12.222,12.222,0.83276,0
02/09/1988,12.103,12.103,12.103,12.103,0.824652,0
05/09/1988,12.143,12.143,12.143,12.143,0.827378,0
06/09/1988,12.103,12.103,12.103,12.103,0.824652,0
07/09/1988,12.143,12.143,12.143,12.143,0.827378,0
08/09/1988,12.143,12.143,12.143,12.143,0.827378,0
09/09/1988,12.103,12.103,12.103,12.103,0.824652,0
12/09/1988,12.103,12.103,12.103,12.103,0.824652,0
13/09/1988,12.103,12.103,12.103,12.103,0.824652,0
14/09/1988,12.024,12.024,12.024,12.024,0.81927,0
15/09/1988,11.984,11.984,11.984,11.984,0.816544,0
16/09/1988,12.024,12.024,12.024,12.024,0.81927,0
19/09/1988,12.024,12.024,12.024,12.024,0.81927,0
20/09/1988,12.024,12.024,12.024,12.024,0.81927,0
21/09/1988,12.024,12.024,12.024,12.024,0.81927,0
22/09/1988,12.143,12.143,12.143,12.143,0.827378,0
23/09/1988,12.103,12.103,12.103,12.103,0.824652,0
26/09/1988,12.183,12.183,12.183,12.183,0.830103,0
27/09/1988,12.183,12.183,12.183,12.183,0.830103,0
28/09/1988,12.222,12.222,12.222,12.222,0.83276,0
29/09/1988,12.103,12.103,12.103,12.103,0.824652,0
30/09/1988,12.103,12.103,12.103,12.103,0.824652,0
03/10/1988,12.024,12.024,12.024,12.024,0.81927,0
04/10/1988,12.103,12.103,12.103,12.103,0.824652,0
05/10/1988,12.064,12.064,12.064,12.064,0.821995,0
06/10/1988,11.905,11.905,11.905,11.905,0.811161,0
07/10/1988,11.984,11.984,11.984,11.984,0.816544,0
10/10/1988,11.786,11.786,11.786,11.786,0.803053,0
11/10/1988,11.786,11.786,11.786,11.786,0.803053,0
12/10/1988,11.786,11.786,11.786,11.786,0.803053,0
13/10/1988,11.786,11.786,11.786,11.786,0.803053,0
14/10/1988,11.826,11.826,11.826,11.826,0.805779,0
17/10/1988,11.826,11.826,11.826,11.826,0.805779,0
18/10/1988,11.865,11.865,11.865,11.865,0.808436,0
19/10/1988,11.865,11.865,11.865,11.865,0.808436,0
20/10/1988,11.786,11.786,11.786,11.786,0.803053,0
21/10/1988,11.746,11.746,11.746,11.746,0.800328,0
24/10/1988,11.707,11.707,11.707,11.707,0.79767,0
25/10/1988,11.746,11.746,11.746,11.746,0.800328,0
26/10/1988,11.707,11.707,11.707,11.707,0.79767,0
27/10/1988,11.746,11.746,11.746,11.746,0.800328,0
28/10/1988,11.707,11.707,11.707,11.707,0.79767,0
31/10/1988,11.627,11.627,11.627,11.627,0.79222,0
01/11/1988,11.627,11.627,11.627,11.627,0.79222,0
02/11/1988,11.548,11.548,11.548,11.548,0.786837,0
03/11/1988,11.429,11.429,11.429,11.429,0.778729,0
04/11/1988,11.429,11.429,11.429,11.429,0.778729,0
07/11/1988,11.429,11.429,11.429,11.429,0.778729,0
08/11/1988,11.349,11.349,11.349,11.349,0.773278,0
09/11/1988,11.349,11.349,11.349,11.349,0.773278,0
10/11/1988,11.349,11.349,11.349,11.349,0.773278,0
11/11/1988,11.349,11.349,11.349,11.349,0.773278,0
14/11/1988,11.349,11.349,11.349,11.349,0.773278,0
15/11/1988,11.349,11.349,11.349,11.349,0.773278,0
16/11/1988,11.31,11.31,11.31,11.31,0.770621,0
17/11/1988,11.31,11.31,11.31,11.31,0.770621,0
18/11/1988,11.27,11.27,11.27,11.27,0.767895,0
21/11/1988,11.23,11.23,11.23,11.23,0.765169,0
22/11/1988,11.23,11.23,11.23,11.23,0.765169,0
23/11/1988,11.23,11.23,11.23,11.23,0.765169,0
24/11/1988,11.23,11.23,11.23,11.23,0.765169,0
25/11/1988,11.151,11.151,11.151,11.151,0.759787,0
28/11/1988,11.111,11.111,11.111,11.111,0.757061,0
29/11/1988,11.111,11.111,11.111,11.111,0.757061,0
30/11/1988,11.032,11.032,11.032,11.032,0.751679,0
01/12/1988,10.953,10.953,10.953,10.953,0.746296,0
02/12/1988,10.913,10.913,10.913,10.913,0.74357,0
05/12/1988,10.913,10.913,10.913,10.913,0.74357,0
06/12/1988,10.913,10.913,10.913,10.913,0.74357,0
07/12/1988,10.913,10.913,10.913,10.913,0.74357,0
08/12/1988,10.834,10.834,10.834,10.834,0.738187,0
09/12/1988,10.834,10.834,10.834,10.834,0.738187,0
12/12/1988,10.834,10.834,10.834,10.834,0.738187,0
13/12/1988,10.754,10.754,10.754,10.754,0.732737,0
14/12/1988,10.675,10.675,10.675,10.675,0.727354,0
15/12/1988,10.675,10.675,10.675,10.675,0.727354,0
16/12/1988,10.675,10.675,10.675,10.675,0.727354,0
19/12/1988,10.714,10.714,10.714,10.714,0.730011,0
20/12/1988,10.675,10.675,10.675,10.675,0.727354,0
21/12/1988,10.675,10.675,10.675,10.675,0.727354,0
22/12/1988,10.675,10.675,10.675,10.675,0.727354,0
23/12/1988,10.675,10.675,10.675,10.675,0.727354,0
26/12/1988,10.675,10.675,10.675,10.675,0.727354,0
27/12/1988,10.675,10.675,10.675,10.675,0.727354,0
28/12/1988,10.873,10.873,10.873,10.873,0.740845,0
29/12/1988,10.834,10.834,10.834,10.834,0.738187,0
30/12/1988,10.913,10.913,10.913,10.913,0.74357,0
02/01/1989,10.913,10.913,10.913,10.913,0.74357,0
03/01/1989,10.834,10.834,10.834,10.834,0.738187,0
04/01/1989,11.032,11.032,11.032,11.032,0.751679,0
05/01/1989,11.429,11.429,11.429,11.429,0.778729,0
06/01/1989,11.548,11.548,11.548,11.548,0.786837,0
09/01/1989,11.508,11.508,11.508,11.508,0.784111,0
10/01/1989,11.429,11.429,11.429,11.429,0.778729,0
11/01/1989,11.389,11.389,11.389,11.389,0.776003,0
12/01/1989,11.429,11.429,11.429,11.429,0.778729,0
13/01/1989,11.429,11.429,11.429,11.429,0.778729,0
16/01/1989,11.627,11.627,11.627,11.627,0.79222,0
17/01/1989,11.627,11.627,11.627,11.627,0.79222,0
18/01/1989,11.627,11.627,11.627,11.627,0.79222,0
19/01/1989,11.826,11.826,11.826,11.826,0.805779,0
20/01/1989,11.826,11.826,11.826,11.826,0.805779,0
23/01/1989,11.984,11.984,11.984,11.984,0.816544,0
24/01/1989,11.945,11.945,11.945,11.945,0.813887,0
25/01/1989,12.024,12.024,12.024,12.024,0.81927,0
26/01/1989,12.024,12.024,12.024,12.024,0.81927,0
27/01/1989,12.143,12.143,12.143,12.143,0.827378,0
30/01/1989,12.619,12.619,12.619,12.619,0.85981,0
31/01/1989,12.619,12.619,12.619,12.619,0.85981,0
01/02/1989,12.659,12.659,12.659,12.659,0.862536,0
02/02/1989,13.215,13.215,13.215,13.215,0.90042,0
03/02/1989,13.651,13.651,13.651,13.651,0.930127,0
06/02/1989,13.691,13.691,13.691,13.691,0.932853,0
07/02/1989,13.651,13.651,13.651,13.651,0.930127,0
08/02/1989,13.77,13.77,13.77,13.77,0.938236,0
09/02/1989,14.088,14.088,14.088,14.088,0.959902,0
10/02/1989,14.167,14.167,14.167,14.167,0.965286,0
13/02/1989,14.207,14.207,14.207,14.207,0.968011,0
14/02/1989,14.246,14.246,14.246,14.246,0.970669,0
15/02/1989,14.246,14.246,14.246,14.246,0.970669,0
16/02/1989,14.246,14.246,14.246,14.246,0.970669,0
17/02/1989,14.246,14.246,14.246,14.246,0.970669,0
20/02/1989,14.167,14.167,14.167,14.167,0.965286,0
21/02/1989,14.246,14.246,14.246,14.246,0.970669,0
22/02/1989,14.048,14.048,14.048,14.048,0.957177,0
23/02/1989,13.969,13.969,13.969,13.969,0.951795,0
24/02/1989,14.127,14.127,14.127,14.127,0.96256,0
27/02/1989,14.048,14.048,14.048,14.048,0.957177,0
28/02/1989,13.969,13.969,13.969,13.969,0.951795,0
01/03/1989,14.048,14.048,14.048,14.048,0.957177,0
02/03/1989,14.048,14.048,14.048,14.048,0.957177,0
03/03/1989,13.969,13.969,13.969,13.969,0.951795,0
06/03/1989,14.048,14.048,14.048,14.048,0.957177,0
07/03/1989,13.969,13.969,13.969,13.969,0.951795,0
08/03/1989,14.127,14.127,14.127,14.127,0.96256,0
09/03/1989,14.445,14.445,14.445,14.445,0.984227,0
10/03/1989,15.238,15.238,15.238,15.238,1.038259,0
13/03/1989,16.27,16.27,16.27,16.27,1.108576,0
14/03/1989,16.945,16.945,16.945,16.945,1.154568,0
15/03/1989,16.785999,16.785999,16.785999,16.785999,1.143734,0
16/03/1989,16.785999,16.785999,16.785999,16.785999,1.143734,0
17/03/1989,16.507999,16.507999,16.507999,16.507999,1.124792,0
20/03/1989,16.35,16.35,16.35,16.35,1.114027,0
21/03/1989,16.469,16.469,16.469,16.469,1.122135,0
22/03/1989,16.429001,16.429001,16.429001,16.429001,1.11941,0
23/03/1989,16.429001,16.429001,16.429001,16.429001,1.11941,0
24/03/1989,16.429001,16.429001,16.429001,16.429001,1.11941,0
27/03/1989,16.429001,16.429001,16.429001,16.429001,1.11941,0
28/03/1989,16.429001,16.429001,16.429001,16.429001,1.11941,0
29/03/1989,16.429001,16.429001,16.429001,16.429001,1.11941,0
30/03/1989,16.309999,16.309999,16.309999,16.309999,1.111301,0
31/03/1989,16.191,16.191,16.191,16.191,1.103193,0
03/04/1989,16.032,16.032,16.032,16.032,1.09236,0
04/04/1989,15.834,15.834,15.834,15.834,1.078869,0
05/04/1989,15.834,15.834,15.834,15.834,1.078869,0
06/04/1989,15.556,15.556,15.556,15.556,1.059927,0
07/04/1989,15.556,15.556,15.556,15.556,1.059927,0
10/04/1989,15.357,15.357,15.357,15.357,1.046367,0
11/04/1989,15.357,15.357,15.357,15.357,1.046367,0
12/04/1989,15.357,15.357,15.357,15.357,1.046367,0
13/04/1989,15.397,15.397,15.397,15.397,1.049093,0
14/04/1989,15.437,15.437,15.437,15.437,1.051819,0
17/04/1989,15.159,15.159,15.159,15.159,1.032877,0
18/04/1989,15.199,15.199,15.199,15.199,1.035602,0
19/04/1989,15,15,15,15,1.022043,0
20/04/1989,14.842,14.842,14.842,14.842,1.011278,0
21/04/1989,14.683,14.683,14.683,14.683,1.000444,0
24/04/1989,14.683,14.683,14.683,14.683,1.000444,0
25/04/1989,14.723,14.723,14.723,14.723,1.003169,0
26/04/1989,14.961,14.961,14.961,14.961,1.019386,0
27/04/1989,14.961,14.961,14.961,14.961,1.019386,0
28/04/1989,15.119,15.119,15.119,15.119,1.030151,0
01/05/1989,15.119,15.119,15.119,15.119,1.030151,0
02/05/1989,15.159,15.159,15.159,15.159,1.032877,0
03/05/1989,15.159,15.159,15.159,15.159,1.032877,0
04/05/1989,15.199,15.199,15.199,15.199,1.035602,0
05/05/1989,15.238,15.238,15.238,15.238,1.038259,0
08/05/1989,15.238,15.238,15.238,15.238,1.038259,0
09/05/1989,15.318,15.318,15.318,15.318,1.04371,0
10/05/1989,15.318,15.318,15.318,15.318,1.04371,0
11/05/1989,15.357,15.357,15.357,15.357,1.046367,0
12/05/1989,15.437,15.437,15.437,15.437,1.051819,0
15/05/1989,15.397,15.397,15.397,15.397,1.049093,0
16/05/1989,15.437,15.437,15.437,15.437,1.051819,0
17/05/1989,15.437,15.437,15.437,15.437,1.051819,0
18/05/1989,15.437,15.437,15.437,15.437,1.051819,0
19/05/1989,15.437,15.437,15.437,15.437,1.051819,0
22/05/1989,15.357,15.357,15.357,15.357,1.046367,0
23/05/1989,15.437,15.437,15.437,15.437,1.051819,0
24/05/1989,15.397,15.397,15.397,15.397,1.049093,0
25/05/1989,15.397,15.397,15.397,15.397,1.049093,0
26/05/1989,15.397,15.397,15.397,15.397,1.049093,0
29/05/1989,15.397,15.397,15.397,15.397,1.049093,0
30/05/1989,15.357,15.357,15.357,15.357,1.046367,0
31/05/1989,15.397,15.397,15.397,15.397,1.049093,0
01/06/1989,15.397,15.397,15.397,15.397,1.049093,0
02/06/1989,15.437,15.437,15.437,15.437,1.051819,0
05/06/1989,15.476,15.476,15.476,15.476,1.054476,0
06/06/1989,16.429001,16.429001,16.429001,16.429001,1.11941,0
07/06/1989,16.469,16.469,16.469,16.469,1.122135,0
