Date,Open,High,Low,Close,Adj Close,Volume
01/07/1988,303.71701,303.71701,303.71701,303.71701,71.201668,0
04/07/1988,302.904999,302.904999,302.904999,302.904999,71.011322,0
05/07/1988,303.71701,303.71701,303.71701,303.71701,71.201668,0
06/07/1988,306.964996,306.964996,306.964996,306.964996,71.96312,0
07/07/1988,301.281006,301.281006,301.281006,301.281006,70.630562,0
08/07/1988,305.341003,305.341003,305.341003,305.341003,71.582413,0
11/07/1988,303.71701,303.71701,303.71701,303.71701,71.201668,0
12/07/1988,305.341003,305.341003,305.341003,305.341003,71.582413,0
13/07/1988,305.341003,305.341003,305.341003,305.341003,71.582413,0
14/07/1988,305.341003,305.341003,305.341003,305.341003,71.582413,0
15/07/1988,302.904999,302.904999,302.904999,302.904999,71.011322,0
18/07/1988,302.092987,302.092987,302.092987,302.092987,70.820938,0
19/07/1988,301.281006,301.281006,301.281006,301.281006,70.630562,0
20/07/1988,307.777008,307.777008,307.777008,307.777008,72.153473,0
21/07/1988,308.183014,308.183014,308.183014,308.183014,72.248657,0
22/07/1988,304.528992,304.528992,304.528992,304.528992,71.392029,0
25/07/1988,305.341003,305.341003,305.341003,305.341003,71.582413,0
26/07/1988,309.402008,309.402008,309.402008,309.402008,72.534439,0
27/07/1988,311.024994,311.024994,311.024994,311.024994,72.914894,0
28/07/1988,311.024994,311.024994,311.024994,311.024994,72.914894,0
29/07/1988,310.213989,310.213989,310.213989,310.213989,72.7248,0
01/08/1988,311.837006,311.837006,311.837006,311.837006,73.105286,0
02/08/1988,310.213989,310.213989,310.213989,310.213989,72.7248,0
03/08/1988,311.024994,311.024994,311.024994,311.024994,72.914894,0
04/08/1988,311.837006,311.837006,311.837006,311.837006,73.105286,0
05/08/1988,313.462006,313.462006,313.462006,313.462006,73.486221,0
08/08/1988,311.837006,311.837006,311.837006,311.837006,73.105286,0
09/08/1988,306.964996,306.964996,306.964996,306.964996,71.96312,0
10/08/1988,301.281006,301.281006,301.281006,301.281006,70.630562,0
11/08/1988,296.40799,296.40799,296.40799,296.40799,69.488152,0
12/08/1988,299.656006,299.656006,299.656006,299.656006,70.249649,0
15/08/1988,288.286987,288.286987,288.286987,288.286987,67.584343,0
16/08/1988,292.347992,292.347992,292.347992,292.347992,68.536369,0
17/08/1988,292.347992,292.347992,292.347992,292.347992,68.536369,0
18/08/1988,295.596008,295.596008,295.596008,295.596008,69.297829,0
19/08/1988,295.596008,295.596008,295.596008,295.596008,69.297829,0
22/08/1988,293.971985,293.971985,293.971985,293.971985,68.917114,0
23/08/1988,291.535004,291.535004,291.535004,291.535004,68.345802,0
24/08/1988,291.535004,291.535004,291.535004,291.535004,68.345802,0
25/08/1988,282.602997,282.602997,282.602997,282.602997,66.251823,0
26/08/1988,282.602997,282.602997,282.602997,282.602997,66.251823,0
29/08/1988,282.602997,282.602997,282.602997,282.602997,66.251823,0
30/08/1988,278.136993,278.136993,278.136993,278.136993,65.204865,0
