Date,Open,High,Low,Close,Adj Close,Volume
01/07/1988,126,126,126,126,35.174236,0
04/07/1988,126,126,126,126,35.174236,0
05/07/1988,128,128,128,128,35.732571,0
06/07/1988,131.5,131.5,131.5,131.5,36.709641,0
07/07/1988,130.5,130.5,130.5,130.5,36.430473,0
08/07/1988,132.5,132.5,132.5,132.5,36.988792,0
11/07/1988,132.5,132.5,132.5,132.5,36.988792,0
12/07/1988,130,130,130,130,36.290894,0
13/07/1988,130,130,130,130,36.290894,0
14/07/1988,129,129,129,129,36.01173,0
15/07/1988,129,129,129,129,36.01173,0
18/07/1988,130,130,130,130,36.290894,0
19/07/1988,129,129,129,129,36.01173,0
20/07/1988,132.5,132.5,132.5,132.5,36.988792,0
21/07/1988,131,131,131,131,36.570042,0
22/07/1988,128.5,128.5,128.5,128.5,35.872147,0
25/07/1988,129,129,129,129,36.01173,0
26/07/1988,128.5,128.5,128.5,128.5,35.872147,0
27/07/1988,129,129,129,129,36.01173,0
28/07/1988,128.75,128.75,128.75,128.75,35.941936,0
29/07/1988,129.75,129.75,129.75,129.75,36.221092,0
01/08/1988,130,130,130,130,36.290894,0
02/08/1988,129.5,129.5,129.5,129.5,36.15131,0
03/08/1988,129.75,129.75,129.75,129.75,36.221092,0
04/08/1988,129.5,129.5,129.5,129.5,36.15131,0
05/08/1988,129,129,129,129,36.01173,0
08/08/1988,128.5,128.5,128.5,128.5,35.872147,0
09/08/1988,130,130,130,130,36.290894,0
10/08/1988,127.75,127.75,127.75,127.75,35.662773,0
11/08/1988,129.5,129.5,129.5,129.5,36.15131,0
12/08/1988,129.5,129.5,129.5,129.5,36.15131,0
15/08/1988,123.5,123.5,123.5,123.5,34.476337,0
16/08/1988,123.5,123.5,123.5,123.5,34.476337,0
17/08/1988,123.5,123.5,123.5,123.5,34.476337,0
18/08/1988,123.5,123.5,123.5,123.5,34.476337,0
19/08/1988,125,125,125,125,34.895081,0
