Date,Open,High,Low,Close,Adj Close,Volume
01/07/1988,259.5,259.5,259.5,259.5,77.101189,0
04/07/1988,258,258,258,258,76.655533,0
05/07/1988,257.200012,257.200012,257.200012,257.200012,76.417809,0
06/07/1988,255,255,255,255,75.764168,0
07/07/1988,251,251,251,251,74.575684,0
08/07/1988,253,253,253,253,75.169945,0
11/07/1988,252,252,252,252,74.872826,0
12/07/1988,252.5,252.5,252.5,252.5,75.0214,0
13/07/1988,255,255,255,255,75.764168,0
14/07/1988,251,251,251,251,74.575684,0
15/07/1988,251,251,251,251,74.575684,0
18/07/1988,243,243,243,243,72.198792,0
19/07/1988,243,243,243,243,72.198792,0
20/07/1988,245,245,245,245,72.793022,0
21/07/1988,244,244,244,244,72.495926,0
22/07/1988,239,239,239,239,71.01033,0
25/07/1988,239,239,239,239,71.01033,0
26/07/1988,242,242,242,242,71.901688,0
27/07/1988,243,243,243,243,72.198792,0
28/07/1988,242.5,242.5,242.5,242.5,72.050247,0
29/07/1988,243,243,243,243,72.198792,0
01/08/1988,244,244,244,244,72.495926,0
02/08/1988,245,245,245,245,72.793022,0
03/08/1988,246.5,246.5,246.5,246.5,73.238693,0
04/08/1988,245.5,245.5,245.5,245.5,72.941589,0
05/08/1988,245,245,245,245,72.793022,0
08/08/1988,244,244,244,244,72.495926,0
09/08/1988,242,242,242,242,71.901688,0
10/08/1988,240,240,240,240,71.307449,0
11/08/1988,240,240,240,240,71.307449,0
12/08/1988,240,240,240,240,71.307449,0
15/08/1988,237,237,237,237,70.416115,0
16/08/1988,238,238,238,238,70.713226,0
17/08/1988,238,238,238,238,70.713226,0
18/08/1988,237,237,237,237,70.416115,0
19/08/1988,237.5,237.5,237.5,237.5,70.564659,0
22/08/1988,237,237,237,237,70.416115,0
23/08/1988,236,236,236,236,70.118996,0
24/08/1988,237,237,237,237,70.416115,0
25/08/1988,234,234,234,234,69.524765,0
26/08/1988,232.5,232.5,232.5,232.5,69.079132,0
29/08/1988,232.5,232.5,232.5,232.5,69.079132,0
30/08/1988,231,231,231,231,68.633438,0
31/08/1988,230.5,230.5,230.5,230.5,68.484863,0
01/09/1988,227,227,227,227,67.444969,0
02/09/1988,228,228,228,228,67.742073,0
05/09/1988,230.5,230.5,230.5,230.5,68.484863,0
06/09/1988,231.5,231.5,231.5,231.5,68.781967,0
07/09/1988,230.5,230.5,230.5,230.5,68.484863,0
08/09/1988,228.5,228.5,228.5,228.5,67.890648,0
09/09/1988,230,230,230,230,68.336304,0
12/09/1988,230,230,230,230,68.336304,0
13/09/1988,232,232,232,232,68.930534,0
14/09/1988,233,233,233,233,69.227638,0
15/09/1988,233,233,233,233,69.227638,0
16/09/1988,231.5,231.5,231.5,231.5,68.781967,0
19/09/1988,233.5,233.5,233.5,233.5,69.376213,0
20/09/1988,233.5,233.5,233.5,233.5,69.376213,0
21/09/1988,235.5,235.5,235.5,235.5,69.970444,0
22/09/1988,233.5,233.5,233.5,233.5,69.376213,0
23/09/1988,234,234,234,234,69.524765,0
26/09/1988,234.5,234.5,234.5,234.5,69.673332,0
27/09/1988,242,242,242,242,71.901688,0
28/09/1988,241.5,241.5,241.5,241.5,71.753151,0
29/09/1988,243,243,243,243,72.198792,0
30/09/1988,242.5,242.5,242.5,242.5,72.050247,0
03/10/1988,240.5,240.5,240.5,240.5,71.456024,0
04/10/1988,242,242,242,242,71.901688,0
05/10/1988,245,245,245,245,72.793022,0
06/10/1988,245,245,245,245,72.793022,0
07/10/1988,246,246,246,246,73.090141,0
10/10/1988,245,245,245,245,72.793022,0
