Date,Open,High,Low,Close,Adj Close,Volume
23/09/2004,286.5,290,275,287,264.091156,45692396
24/09/2004,288,290,286.5,287.5,264.551239,4133535
27/09/2004,288.5,288.5,284.929993,287,264.091156,2487552
28/09/2004,287,289.880005,287,288.75,265.701477,4263319
29/09/2004,288,290.579987,288,288.5,265.471375,2650676
30/09/2004,288,289.809998,287.5,288,265.011322,2841171
01/10/2004,288,291.5,287.119995,291,267.77182,1324800
04/10/2004,292.5,295,291,295,271.452545,761247
05/10/2004,295.5,295.5,292,294,270.532379,474790
06/10/2004,292,293.5,291,293,269.612213,794741
07/10/2004,296,296.75,294,294,270.532379,85260
08/10/2004,292,293,291,292,268.692017,863237
11/10/2004,292,293.75,292,293.25,269.842224,114135
12/10/2004,292.5,292.940002,292,292.75,269.382141,335882
13/10/2004,292.5,293.75,292.5,293.25,269.842224,8772
14/10/2004,293,296,292.707001,294.75,271.222534,432165
15/10/2004,292,295,290.417999,294,270.532379,2999326
18/10/2004,294,295,292.209991,295,271.452545,616450
19/10/2004,294,295,293.5,293.5,270.072296,63462
20/10/2004,291,293,291,293,269.612213,643664
21/10/2004,294,295,293,294.5,270.992462,1282842
22/10/2004,295,300.600006,295,299.75,275.823364,907250
25/10/2004,297,299.630005,297,299,275.13327,507769
26/10/2004,297.5,297.5,296,297.5,273.752991,1435593
27/10/2004,298,299,295,296.75,273.062897,827120
28/10/2004,300,300,297,297,273.292908,361650
29/10/2004,297,297.5,292,292.25,268.922028,1332523
01/11/2004,293,293.5,291,291,267.77182,693076
02/11/2004,291.5,294.399994,291,292,268.692017,1425639
03/11/2004,292.5,296,292.5,294.5,270.992462,141294
04/11/2004,295,296.149994,294.5,294.5,270.992462,81786
05/11/2004,296.5,296.5,294.5,294.5,270.992462,58279
08/11/2004,295,297,295,296,272.372711,367807
09/11/2004,297,298,295,296.25,272.602783,303918
10/11/2004,300,300,297.5,297.5,273.752991,330321
11/11/2004,298,298,296,297.75,273.983063,111383
12/11/2004,299,309,297.296997,306.5,282.034637,3752770
15/11/2004,305,307.307007,304.470001,305,280.654327,3036168
16/11/2004,304,305,303.5,303.5,279.274048,144093
17/11/2004,303,308,303,307.25,282.724731,664576
18/11/2004,308,308,305.5,306.75,282.264648,83144
19/11/2004,308,310,306.5,309,284.335022,1012669
22/11/2004,309,310,308,309,284.335022,66905
23/11/2004,310,312.559998,309,311.5,286.635468,1105976
24/11/2004,310,315,113,314,288.935944,1991305
25/11/2004,313.5,316.899994,311.25,311.25,286.405426,601912
26/11/2004,311,313,308,310,285.255188,149660
29/11/2004,310,313,308.69101,312,287.095551,1487109
30/11/2004,313,313,310.5,311,286.175385,1331871
01/12/2004,312,312,310.679993,311.5,286.635468,529810
02/12/2004,313.5,313.5,311,311,286.175385,77686
03/12/2004,311,316.119995,310.5,316,290.776306,1872436
06/12/2004,317,322,317,321.75,296.067291,1111436
