Date,Open,High,Low,Close,Adj Close,Volume
19/03/2015,261,273.75,235,256,243.554703,238772753
20/03/2015,262,269.345001,260,265.5,252.59288,15567088
23/03/2015,266.5,266.5,260,265,252.117249,5039046
24/03/2015,264.75,267,261.5,265,252.117249,5224212
25/03/2015,266.5,266.5,259.812988,260.75,248.073822,3343624
26/03/2015,260.75,260.75,256,257,244.506119,2962512
27/03/2015,260,262.75,250,252.5,240.224869,4256038
30/03/2015,255,256,250.25,254.5,242.12764,2613120
31/03/2015,256.75,259.75,249.600006,251.75,239.511353,5343378
01/04/2015,251.75,260,251.75,259,246.408875,4901229
02/04/2015,264.25,265,258.25,263,250.214417,2409818
07/04/2015,265,270,262.5,267.25,254.257813,975170
08/04/2015,268.25,269,263,263.5,250.690094,538798
09/04/2015,266,266.644012,263,264.5,251.64151,657706
10/04/2015,266,270,260.5,266.5,253.544312,549407
13/04/2015,268,271,265,270.5,257.349792,1422670
14/04/2015,272,276,270,273,259.728302,1306505
15/04/2015,272.25,273.5,266.75,271,257.825562,625439
16/04/2015,274.75,274.75,270,271,257.825562,272191
17/04/2015,270.75,274.5,270,272.75,259.490448,1206612
20/04/2015,270,275,270,274,260.679657,2817255
21/04/2015,275,275,269.5,270.5,257.349792,857066
22/04/2015,266.25,270,265,265.75,252.830719,386219
23/04/2015,265.25,265.75,260.25,262,249.263062,765156
24/04/2015,256.5,272,256.5,270,256.874146,2632958
27/04/2015,273.75,279.5,272.75,279.5,265.912354,1836756
28/04/2015,279.75,280,272.5,274.75,261.39325,2715407
29/04/2015,280,280,270.75,271.5,258.301208,3613181
30/04/2015,270,273,269.5,272,258.776917,539058
01/05/2015,272.75,276.25,268,270,256.874146,1698759
05/05/2015,277,277,269,273.5,260.203979,1079229
06/05/2015,267,275,267,274.25,260.917511,1998767
07/05/2015,275,277,261.75,269,255.922729,1626453
08/05/2015,272,277.25,270.25,275,261.631073,804071
11/05/2015,275,285,272.5,284.5,270.669159,2961227
12/05/2015,284.5,292,284,288,273.999023,3633656
13/05/2015,292.75,293.75,285.950012,290,275.901855,4239964
14/05/2015,291,296,291,295.5,281.13446,3105923
15/05/2015,299,299,288.25,293.75,279.469513,1572053
18/05/2015,288.5,293.937012,285,287.5,273.523376,972490
19/05/2015,287.75,289.75,282,287.25,273.285553,983704
20/05/2015,287,290,287,287.75,273.7612,1020866
21/05/2015,294.5,294.5,286.809998,287.75,273.7612,1909515
22/05/2015,295,295,287.5,288,273.999023,556338
26/05/2015,288.5,293.059998,283,284.75,270.907043,1378711
27/05/2015,292.5,292.5,282.5,284.5,270.669159,646633
28/05/2015,289.5,289.5,283.75,286,272.096252,766301
29/05/2015,286,286,280.75,284.25,270.431335,746920
01/06/2015,284,286.880005,280.25,285,271.144928,1167857
02/06/2015,287,287.25,283,287.25,273.285553,1377242
03/06/2015,288.5,289,284.75,289,274.95047,1305183
04/06/2015,286.5,292,286,287.25,273.285553,1195599
05/06/2015,287.5,292.5,285,288.5,274.474792,1123536
08/06/2015,285.75,291.25,282.75,287.75,273.7612,720211
09/06/2015,289,293,285.75,290.75,276.615417,919100
10/06/2015,291.75,295,290,294,279.707367,938084
11/06/2015,289,298,288,296.5,282.085876,1352557
12/06/2015,291.5,300,291.5,297.25,282.799377,1552205
15/06/2015,299.75,309,294.25,303.5,288.745514,5494527
16/06/2015,305.25,305.25,299.25,299.75,285.177826,1190284
17/06/2015,302.5,305,299,301,286.367065,2492336
18/06/2015,304,309.5,303,308,293.026733,7139224
19/06/2015,315,334.75,302.75,305.5,290.648346,35896276
22/06/2015,310,313,303.100006,307.600006,292.64624,2348641
23/06/2015,311.5,317.700012,309,315.700012,300.352448,1954537
24/06/2015,318,320.473999,313.399994,314.299988,299.020477,730006
25/06/2015,314.299988,318.100006,309.179993,314.799988,299.496155,1192155
26/06/2015,312,316.5,306,311.5,296.356598,1070179
29/06/2015,307.700012,314.200012,303.799988,305.5,290.648346,726877
30/06/2015,303.799988,307.899994,303.100006,304.899994,290.077484,1346201
01/07/2015,305.299988,307.5,302.200012,304.200012,289.41153,3151349
02/07/2015,303.5,306.299988,303.5,306.299988,291.409424,3442884
03/07/2015,311.799988,321.600006,311.399994,319.700012,304.15799,2346517
06/07/2015,315.600006,318.5,313.200012,315.200012,299.876801,802420
07/07/2015,317,319.200012,308.200012,309.700012,294.644104,963439
08/07/2015,314.5,314.5,297.100006,298.399994,283.893463,1070584
09/07/2015,299.700012,306.399994,296.899994,303.200012,288.460114,5263613
10/07/2015,307.700012,318.899994,305.429993,315.899994,300.542725,2865477
13/07/2015,320,322,314.700012,321.600006,305.965607,1680322
14/07/2015,320,324,319.200012,322.700012,307.012207,1813779
15/07/2015,324,324,320,321.299988,305.680267,2329003
16/07/2015,324,324.200012,320,322,306.346191,1385521
17/07/2015,324,324.5,320.600006,323,307.297546,418067
20/07/2015,324.600006,327.200012,319,319.700012,304.15799,721928
21/07/2015,321.299988,324.799988,318.799988,322.799988,307.107269,889972
22/07/2015,322.5,325.899994,319.899994,321.299988,305.680267,1638388
23/07/2015,325.399994,326.829987,318.799988,322.5,306.821838,2361241
24/07/2015,320.600006,333.399994,320,332.200012,316.050323,2389069
27/07/2015,331.899994,336.100006,327.399994,331,314.908661,2719122
28/07/2015,333.5,334.700012,325.980011,327.100006,311.198242,1150572
29/07/2015,330.299988,340.299988,327,336.5,320.141327,4693887
30/07/2015,335.100006,338.799988,330.5,335.200012,318.90448,1272465
31/07/2015,338,343.76001,334.299988,339.299988,322.805145,1765330
03/08/2015,336.299988,347.299988,336.200012,344.600006,327.847504,976304
04/08/2015,345.899994,356.5,345.731995,354,336.790558,1111566
05/08/2015,352.600006,355.600006,346,350.5,333.460693,1603796
06/08/2015,348.5,354.100006,347.950012,350.899994,333.841217,1877159
07/08/2015,351.200012,352.700012,344.700012,346.799988,329.940491,1167146
10/08/2015,346.600006,354,344.700012,351.5,334.412079,822391
11/08/2015,351.399994,356.299988,346.5,353.600006,336.409943,1486267
12/08/2015,352.799988,353,347.100006,347.600006,330.701691,1535195
13/08/2015,350.600006,359.200012,348.700012,350.700012,333.65097,887018
14/08/2015,350,354.399994,348.5,349.200012,332.223877,1382332
17/08/2015,351.299988,358.299988,350.799988,358,340.5961,764007
18/08/2015,358.899994,358.899994,352.079987,355,337.741974,818552
19/08/2015,354.799988,362.128998,351.5,359.799988,342.308563,2000582
20/08/2015,357.299988,360.48999,355.899994,356,338.693268,841941
21/08/2015,353.899994,356.600006,345.799988,345.799988,328.989166,691901
24/08/2015,338.200012,338.200012,312.700012,329.700012,313.671906,2090494
25/08/2015,332.600006,350.600006,323,348.700012,331.748199,1784366
26/08/2015,341.299988,347.100006,333.299988,334.5,318.238525,4543749
27/08/2015,342,344.899994,339.200012,343.299988,326.610657,2626755
28/08/2015,344.399994,347.299988,339.899994,341.600006,324.993378,1744589
01/09/2015,334.600006,344.100006,334.600006,339,322.519775,2671480
02/09/2015,341.700012,346.399994,337.100006,338,321.568329,1087601
03/09/2015,342.299988,343.660004,337,337,320.616943,8389402
04/09/2015,338.700012,340.399994,333,338.700012,322.234344,1520666
07/09/2015,339.5,342,337.899994,340.700012,324.137146,528585
08/09/2015,340.899994,341.5,335.5,336,319.665588,5253042
09/09/2015,342.5,342.5,335.299988,338.899994,322.424591,2185595
10/09/2015,334.5,339.899994,333.799988,335.200012,318.90448,944374
11/09/2015,337.100006,337.100006,327.200012,332.200012,316.050323,1112875
14/09/2015,335.600006,335.600006,320.5,325.200012,309.390625,1299654
15/09/2015,326.5,333,326.5,329,313.00589,828850
16/09/2015,329.600006,330.700012,325,330,313.957275,1242796
17/09/2015,331.200012,333.299988,329.5,331.799988,315.6698,1213113
18/09/2015,329,340,327.399994,332,315.859985,16776623
21/09/2015,330,341.200012,329,334.399994,318.143341,886675
22/09/2015,333.399994,334.5,321.100006,322.899994,307.202423,2343080
23/09/2015,321.700012,329.899994,319.299988,328,312.054504,1398655
24/09/2015,328,335,326.200012,332.200012,316.050323,1616450
25/09/2015,335.799988,336.799988,327,331.200012,315.098969,1884477
28/09/2015,328.100006,337.399994,326.200012,328.5,312.530151,1071508
29/09/2015,325.100006,333.399994,324.799988,328,312.054504,697814
30/09/2015,333,341.380005,332.700012,339.100006,322.614838,1864747
01/10/2015,340.600006,344.299988,337.399994,339.899994,323.376007,1801076
02/10/2015,339.100006,342.227997,332.200012,334.600006,318.333679,1605744
05/10/2015,336.700012,350,336.700012,349.799988,332.794678,883227
06/10/2015,348.799988,349.619995,341.200012,348,331.082245,1179526
07/10/2015,347.100006,349,332.600006,337,320.616943,1560427
08/10/2015,335.200012,342.899994,334.399994,340.899994,324.327362,1108621
09/10/2015,341.700012,343,324.100006,325.5,309.676025,2137084
12/10/2015,327.5,327.899994,319,320.5,304.919128,1803327
13/10/2015,321.100006,335.700012,321.100006,332.100006,315.95517,2497040
14/10/2015,331.700012,351.899994,330.100006,346.700012,329.845428,1732170
15/10/2015,346.899994,357.600006,342.899994,356.899994,339.549561,1688915
16/10/2015,356.799988,366.799988,354.5,360.799988,343.259949,2058338
19/10/2015,364,365,356.399994,362.899994,345.257843,1165164
20/10/2015,363.5,375.600006,362.484009,374,355.818237,2795430
21/10/2015,375,379.600006,368.899994,374,355.818237,2408508
22/10/2015,372.899994,379,370.799988,375.5,357.2453,1777686
23/10/2015,377,390.899994,373.5,390,371.040375,2011316
26/10/2015,390.700012,390.700012,382.200012,386.299988,367.520264,1571564
